Title,Authors,pdf,supp,arXiv
Unmixing Diffusion for Self-Supervised Hyperspectral Image Denoising,"Haijin Zeng, Jiezhang Cao, Kai Zhang, Yongyong Chen, Hiep Luong, Wilfried Philips",https://openaccess.thecvf.com/content/CVPR2024/papers/Zeng_Unmixing_Diffusion_for_Self-Supervised_Hyperspectral_Image_Denoising_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zeng_Unmixing_Diffusion_for_CVPR_2024_supplemental.pdf,
Seeing the World through Your Eyes,"Hadi Alzayer, Kevin Zhang, Brandon Feng, Christopher A. Metzler, Jia-Bin Huang",https://openaccess.thecvf.com/content/CVPR2024/papers/Alzayer_Seeing_the_World_through_Your_Eyes_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Alzayer_Seeing_the_World_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2306.09348
DPMesh: Exploiting Diffusion Prior for Occluded Human Mesh Recovery,"Yixuan Zhu, Ao Li, Yansong Tang, Wenliang Zhao, Jie Zhou, Jiwen Lu",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhu_DPMesh_Exploiting_Diffusion_Prior_for_Occluded_Human_Mesh_Recovery_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhu_DPMesh_Exploiting_Diffusion_CVPR_2024_supplemental.zip,http://arxiv.org/abs/2404.01424
Ungeneralizable Examples,"Jingwen Ye, Xinchao Wang",https://openaccess.thecvf.com/content/CVPR2024/papers/Ye_Ungeneralizable_Examples_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ye_Ungeneralizable_Examples_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2404.14016
LaneCPP: Continuous 3D Lane Detection using Physical Priors,"Maximilian Pittner, Joel Janai, Alexandru P. Condurache",https://openaccess.thecvf.com/content/CVPR2024/papers/Pittner_LaneCPP_Continuous_3D_Lane_Detection_using_Physical_Priors_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Pittner_LaneCPP_Continuous_3D_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2406.08381
CityDreamer: Compositional Generative Model of Unbounded 3D Cities,"Haozhe Xie, Zhaoxi Chen, Fangzhou Hong, Ziwei Liu",https://openaccess.thecvf.com/content/CVPR2024/papers/Xie_CityDreamer_Compositional_Generative_Model_of_Unbounded_3D_Cities_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xie_CityDreamer_Compositional_Generative_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2309.00610
HEAL-SWIN: A Vision Transformer On The Sphere,"Oscar Carlsson, Jan E. Gerken, Hampus Linander, Heiner Spieß, Fredrik Ohlsson, Christoffer Petersson, Daniel Persson",https://openaccess.thecvf.com/content/CVPR2024/papers/Carlsson_HEAL-SWIN_A_Vision_Transformer_On_The_Sphere_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Carlsson_HEAL-SWIN_A_Vision_CVPR_2024_supplemental.pdf,
3D Paintbrush: Local Stylization of 3D Shapes with Cascaded Score Distillation,"Dale Decatur, Itai Lang, Kfir Aberman, Rana Hanocka",https://openaccess.thecvf.com/content/CVPR2024/papers/Decatur_3D_Paintbrush_Local_Stylization_of_3D_Shapes_with_Cascaded_Score_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Decatur_3D_Paintbrush_Local_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2311.09571
Test-Time Linear Out-of-Distribution Detection,"Ke Fan, Tong Liu, Xingyu Qiu, Yikai Wang, Lian Huai, Zeyu Shangguan, Shuang Gou, Fengjian Liu, Yuqian Fu, Yanwei Fu, Xingqun Jiang",https://openaccess.thecvf.com/content/CVPR2024/papers/Fan_Test-Time_Linear_Out-of-Distribution_Detection_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Fan_Test-Time_Linear_Out-of-Distribution_CVPR_2024_supplemental.pdf,
Guided Slot Attention for Unsupervised Video Object Segmentation,"Minhyeok Lee, Suhwan Cho, Dogyoon Lee, Chaewon Park, Jungho Lee, Sangyoun Lee",https://openaccess.thecvf.com/content/CVPR2024/papers/Lee_Guided_Slot_Attention_for_Unsupervised_Video_Object_Segmentation_CVPR_2024_paper.pdf,,http://arxiv.org/abs/2303.08314
Unsupervised Blind Image Deblurring Based on Self-Enhancement,"Lufei Chen, Xiangpeng Tian, Shuhua Xiong, Yinjie Lei, Chao Ren",https://openaccess.thecvf.com/content/CVPR2024/papers/Chen_Unsupervised_Blind_Image_Deblurring_Based_on_Self-Enhancement_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Chen_Unsupervised_Blind_Image_CVPR_2024_supplemental.pdf,
Action Detection via an Image Diffusion Process,"Lin Geng Foo, Tianjiao Li, Hossein Rahmani, Jun Liu",https://openaccess.thecvf.com/content/CVPR2024/papers/Foo_Action_Detection_via_an_Image_Diffusion_Process_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Foo_Action_Detection_via_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2404.01051
Programmable Motion Generation for Open-Set Motion Control Tasks,"Hanchao Liu, Xiaohang Zhan, Shaoli Huang, Tai-Jiang Mu, Ying Shan",https://openaccess.thecvf.com/content/CVPR2024/papers/Liu_Programmable_Motion_Generation_for_Open-Set_Motion_Control_Tasks_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Liu_Programmable_Motion_Generation_CVPR_2024_supplemental.zip,http://arxiv.org/abs/2405.19283
SCE-MAE: Selective Correspondence Enhancement with Masked Autoencoder for Self-Supervised Landmark Estimation,"Kejia Yin, Varshanth Rao, Ruowei Jiang, Xudong Liu, Parham Aarabi, David B. Lindell",https://openaccess.thecvf.com/content/CVPR2024/papers/Yin_SCE-MAE_Selective_Correspondence_Enhancement_with_Masked_Autoencoder_for_Self-Supervised_Landmark_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Yin_SCE-MAE_Selective_Correspondence_CVPR_2024_supplemental.pdf,
LAKE-RED: Camouflaged Images Generation by Latent Background Knowledge Retrieval-Augmented Diffusion,"Pancheng Zhao, Peng Xu, Pengda Qin, Deng-Ping Fan, Zhicheng Zhang, Guoli Jia, Bowen Zhou, Jufeng Yang",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhao_LAKE-RED_Camouflaged_Images_Generation_by_Latent_Background_Knowledge_Retrieval-Augmented_Diffusion_CVPR_2024_paper.pdf,,
TIGER: Time-Varying Denoising Model for 3D Point Cloud Generation with Diffusion Process,"Zhiyuan Ren, Minchul Kim, Feng Liu, Xiaoming Liu",https://openaccess.thecvf.com/content/CVPR2024/papers/Ren_TIGER_Time-Varying_Denoising_Model_for_3D_Point_Cloud_Generation_with_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ren_TIGER_Time-Varying_Denoising_CVPR_2024_supplemental.pdf,
ConTex-Human: Free-View Rendering of Human from a Single Image with Texture-Consistent Synthesis,"Xiangjun Gao, Xiaoyu Li, Chaopeng Zhang, Qi Zhang, Yanpei Cao, Ying Shan, Long Quan",https://openaccess.thecvf.com/content/CVPR2024/papers/Gao_ConTex-Human_Free-View_Rendering_of_Human_from_a_Single_Image_with_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Gao_ConTex-Human_Free-View_Rendering_CVPR_2024_supplemental.pdf,
